,INSTNM,CITY,STABBR,ZIP,ACCREDAGENCY,NUMBRANCH,PREDDEG,HIGHDEG,CONTROL,REGION,CCBASIC,CCUGPROF,CCSIZSET,RELAFFIL,ADM_RATE,SATVR25,SATVR75,SATVRMID,SATMT25,SATMT75,SATMTMID,SATWR25,SATWR75,SATWRMID,ACTCM25,ACTEN25,ACTMT25,ACTWR25,ACTCM75,ACTEN75,ACTMT75,ACTWR75,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG_ALL,PCIP11,PCIP14,PCIP15,PCIP26,PCIP27,PCIP40,PCIP41,CIP11BACHL,CIP14BACHL,CIP15BACHL,CIP26BACHL,CIP27BACHL,CIP40BACHL,CIP41BACHL,UGDS,COSTT4_A,COSTT4_P,TUITIONFEE_IN,TUITIONFEE_OUT,AVGFACSAL,PFTFAC,C150_4,C150_L4,C150_4_POOLED,C150_L4_POOLED,C150_4_WHITE,C150_4_BLACK,C150_4_HISP,C150_4_ASIAN,DEP_INC_AVG,IND_INC_AVG,FEMALE_DEBT_MDN,MALE_DEBT_MDN,FEMALE_RPY_3YR_N,MALE_RPY_3YR_N,MALE_RPY_5YR_N,FEMALE_RPY_5YR_N,MALE_RPY_7YR_N,FEMALE_RPY_7YR_N,FEMALE,UGDS_MEN,UGDS_WOMEN
0,Alabama A & M University,Normal,AL,35762,Southern Association of Colleges and Schools Commission on Colleges,1,3,4,1,5,18.0,10.0,13.0,,0.6538,383.0,470.0,427.0,360.0,480.0,420.0,370.0,457.0,414.0,16.0,14.0,15.0,,19.0,20.0,18.0,,18.0,17.0,17.0,,850.0,0.0634,0.1432,0.0587,0.1009,0.0094,0.0188,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4505.0,20809.0,,9366.0,17136.0,7017.0,0.7096,0.3081,,0.3303,,0.375,0.3091,0.0,0.0,33295.637228,8487.4347826,16000,13750,1461,1370,1087,1157,1100,1184,0.5472427116,0.4617,0.5383
1,University of Alabama at Birmingham,Birmingham,AL,35294-0110,Southern Association of Colleges and Schools Commission on Colleges,1,3,4,1,5,15.0,9.0,15.0,,0.6043,520.0,630.0,575.0,520.0,668.0,594.0,,,,22.0,22.0,19.0,,28.0,30.0,26.0,,25.0,26.0,23.0,,1147.0,0.0133,0.0577,0.0,0.0715,0.0124,0.0174,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,11269.0,22232.0,,7766.0,17654.0,10221.0,0.9081,0.5462,,0.5504,,0.5536,0.4721,0.5946,0.7722,60411.66406,29795.357579,14750,13750,3181,1766,1435,2664,1221,2401,0.6369683532,0.4116,0.5884
2,Amridge University,Montgomery,AL,36117-3553,Southern Association of Colleges and Schools Commission on Colleges,1,3,4,2,5,21.0,5.0,6.0,74.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.0,12133.0,,6900.0,6900.0,3217.0,1.0,0.4,,0.3333,,0.6667,0.0,0.0,,25829.65625,18765.062241,12500,9500,269,160,134,178,116,170,0.6043956044,0.4286,0.5714
3,University of Alabama in Huntsville,Huntsville,AL,35899,Southern Association of Colleges and Schools Commission on Colleges,1,3,4,1,5,15.0,9.0,12.0,,0.812,520.0,650.0,585.0,550.0,680.0,615.0,,,,24.0,24.0,24.0,,30.0,32.0,29.0,,27.0,28.0,27.0,,1221.0,0.0315,0.3027,0.0,0.0712,0.0198,0.0216,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,5829.0,20999.0,,9128.0,20622.0,9514.0,0.6173,0.4935,,0.4776,,0.5214,0.3558,0.28,0.5333,68369.367666,25075.698438,15958,14316,1290,1067,973,1077,814,979,0.4779208832,0.574,0.426
4,Alabama State University,Montgomery,AL,36104-0271,Southern Association of Colleges and Schools Commission on Colleges,1,3,4,1,5,18.0,10.0,13.0,,0.4639,370.0,450.0,410.0,360.0,460.0,410.0,,,,16.0,14.0,15.0,,19.0,19.0,17.0,,18.0,17.0,16.0,,844.0,0.0567,0.0,0.0,0.0794,0.0302,0.0265,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,4740.0,18100.0,,8720.0,15656.0,7940.0,0.6395,0.2696,,0.2663,,0.0,0.2719,,1.0,34650.751743,6715.964497,16639,14250,1878,1468,1348,1710,1389,1693,0.612294094,0.385,0.615
5,The University of Alabama,Tuscaloosa,AL,35487-0166,Southern Association of Colleges and Schools Commission on Colleges,1,3,4,1,5,16.0,14.0,16.0,,0.5359,490.0,600.0,545.0,490.0,610.0,550.0,480.0,600.0,540.0,22.0,22.0,21.0,7.0,31.0,32.0,29.0,8.0,27.0,27.0,25.0,8.0,1181.0,0.0067,0.0788,0.0,0.0378,0.0083,0.0095,0.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,31005.0,27205.0,,10170.0,25950.0,9710.0,0.7187,0.6709,,0.6638,,0.6894,0.5455,0.5926,0.6806,99525.253267,30580.381215,17750,16500,4019,3365,2795,3287,2090,2654,0.607564495,0.4525,0.5475
6,Central Alabama Community College,Alexander City,AL,35010,Southern Association of Colleges and Schools Commission on Colleges,1,2,2,1,5,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0189,0.0,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1546.0,11475.0,,4320.0,7770.0,5671.0,0.4602,,0.2122,,0.1722,,,,,34678.516556,15553.308483,7382,5500,853,369,250,708,199,620,0.5935314685,0.4017,0.5983
7,Athens State University,Athens,AL,35611,Southern Association of Colleges and Schools Commission on Colleges,1,3,3,1,5,22.0,5.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0501,0.0,0.0,0.015,0.0225,0.005,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,2904.0,,,,,7921.0,0.445,,,,,,,,,58970.547297,30649.001791,13745,12500,1238,500,437,1080,343,928,0.6867392697,0.3485,0.6515
8,Auburn University at Montgomery,Montgomery,AL,36117-3596,Southern Association of Colleges and Schools Commission on Colleges,1,3,4,1,5,18.0,9.0,12.0,,0.7871,450.0,520.0,485.0,470.0,540.0,505.0,,,,19.0,19.0,17.0,,23.0,25.0,22.0,,21.0,22.0,20.0,,990.0,0.0,0.0,0.0,0.0571,0.0067,0.0235,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,4142.0,18665.0,,9350.0,20210.0,7588.0,0.9539,0.2038,,0.2115,,0.2278,0.166,0.3,0.3,44217.987069,21935.265125,10750,9500,1895,834,711,1561,570,1357,0.6838975297,0.3595,0.6405
9,Auburn University,Auburn,AL,36849,Southern Association of Colleges and Schools Commission on Colleges,1,3,4,1,5,16.0,15.0,15.0,,0.7766,530.0,630.0,580.0,540.0,650.0,595.0,520.0,620.0,570.0,24.0,25.0,23.0,7.0,30.0,32.0,28.0,8.0,27.0,29.0,26.0,8.0,1218.0,0.0066,0.1741,0.0,0.0873,0.0091,0.0135,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,21551.0,29164.0,,10424.0,28040.0,9738.0,0.8734,0.7292,,0.7188,,0.7464,0.5597,0.6842,0.6905,95514.849097,20907.625561,18500,16250,2674,2767,2507,2391,2258,2078,0.5205963123,0.5095,0.4905
